#
100   736869.0528243   -129.9956   45.9396   0.87
 511452     740013.4210918  -129.9728    45.9283    1.214
 1150146     736079.3896913  -130.0129    45.9460    0.272
AS1B  U        110.7856        110.7856        367.2235        2243.1114
CC1B  D          1.0000          1.0000          1.0000           1.0000
EC1B  D         84.7563         84.7563       1069.6013        7030.9697
EC2B  U         95.9319         95.9319        242.1396        1506.6903
EC3B  D        119.8201        119.8201        418.3970        4602.1298
ID1B  U         48.3284         48.3284        371.4603        1105.7079
 1150024     736079.3601115  -130.0163    45.9461    0.471
AS2C  U         57.7814         57.7814       1021.4741        3192.2200
CC1C  D          1.0000          1.0000          1.0000           1.0000
EC1C  D        100.5643        100.5643        701.0882        1850.8710
EC2C  U        148.4296        148.4296        294.6642         862.5134
EC3C  D         82.5182         82.5182        309.8271        2823.2360
ID1C  U         85.1074         85.1074        291.8402         888.6390
 1099069     736050.8038908  -130.0133    45.9286    1.139
AS1D  U        106.7775        106.7775       1605.4752        4021.9217
AS2D  U         92.4512         92.4512       1555.6977        6613.8421
CC1D  D          1.0000          1.0000          1.0000           1.0000
EC1D  D         93.1366         93.1366        472.4984        3522.6112
EC2D  U         54.8791         54.8791        316.2392        1915.3822
ID1D  U         51.7447         51.7447        391.9815         739.5652
 1507869     736078.6868800  -130.0114    45.9461    0.167
AS2E  U       1529.3119       1529.3119       7486.5040       91200.2373
CC1E  D       3080.7436       3080.7436     134934.9858       66473.9771
EC1E  D       1832.8631       1832.8631      14100.9587      108317.5714
EC2E  U        850.7160        850.7160       5126.2419       49388.3413
EC3E  D       1854.6421       1854.6421       7753.8788      112228.2933
ID1E  U        612.4534        612.4534       5399.7230       20350.1641
 1223543     737506.9226603  -130.0131    45.9404    0.603
AS1F  U         32.1901         32.1901         97.3092         185.1186
AS2F  U         32.1428         32.1428        168.9295         576.0701
CC1F  D         50.0183         50.0183         78.7859         230.8067
EC1F  D         46.9413         46.9413         58.1238         216.8148
EC2F  U         37.3816         37.3816         55.4932         370.6659
EC3F  D         36.4872         36.4872         63.6549         543.9601
 1324690     737861.0784564  -130.0114    45.9402    0.461
AS1G  U         27.6475         27.6475        207.2259         396.1622
AS2G  U         33.7077         33.7077        569.2497        1655.5432
CC1G  D         45.5172         45.5172         79.8992         280.3902
EC1G  D         46.2160         46.2160         62.9097         405.0413
EC2G  U         44.9592         44.9592         86.2691         458.6182
EC3G  D         38.5198         38.5198         65.0966         594.1606
#
103   736603.6360417   -129.9814   45.9420   1.76
 511685     740015.1892350  -129.9792    45.9379    1.329
AS1A  U         45.0113         45.0113       6399.3879       11528.0170
AS2A  D         45.6034         45.6034        739.1483        1884.9046
CC1A  U         43.1146         43.1146        660.1543        2564.0538
EC1A  D         48.2218         48.2218       3706.9949       12248.2162
EC2A  D         34.6634         34.6634       9900.0053       19514.9440
EC3A  D         46.3420         46.3420      13038.6405       70063.0995
ID1A  U        198.7104        198.7104        417.4149        2001.0531
 1038835     736002.1455026  -129.9809    45.9433    1.551
AS2B  D        100.3365        100.3365        410.9695        1697.6368
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D        233.3127        233.3127       3427.8378       35179.9414
EC2B  D        236.0663        236.0663       4452.6684       10846.0626
EC3B  D        239.5573        239.5573       2212.0855       44677.1100
ID1B  U         94.5831         94.5831       1358.0671        2878.5635
 1048952     736015.1496605  -129.9709    45.9387    4.266
AS1C  U         26.0420         26.0420        383.4595        5086.5659
AS2C  D        150.3173        150.3173        852.1194        2134.7042
CC1C  U         41.0632         41.0632        178.7029        1781.7283
EC1C  D         31.2795         31.2795        344.3486        8986.2514
EC2C  D         16.8527         16.8527        389.1332        5454.9763
EC3C  D         33.1616         33.1616        823.0529       19153.8624
ID1C  U         23.2742         23.2742         98.9738        1864.9898
 1108191     736055.5330575  -129.9891    45.9437    0.554
AS1D  U         36.3898         36.3898        188.5008        2177.1509
AS2D  D         23.1783         23.1783        150.4701         678.8940
CC1D  U         30.1168         30.1168        236.7434         569.3904
EC1D  D         42.0310         42.0310        545.3417        4505.2453
EC2D  D         23.0269         23.0269        417.0314        3668.8849
EC3D  D         33.4434         33.4434        407.3402        4323.0860
 1120470     736061.6125497  -129.9809    45.9371    1.470
AS1E  U         42.8615         42.8615        533.5612        2454.0772
CC1E  U         77.6233         77.6233        213.0059         441.8203
EC1E  D         30.6168         30.6168        312.6220        5135.4539
EC2E  D         32.5887         32.5887       1142.2612        4693.5923
EC3E  D        136.6748        136.6748       1518.4501       47230.8242
ID1E  U         38.8595         38.8595        250.1301        3867.8280
 1060264     736028.1223464  -129.9867    45.9499    1.661
AS1F  U         53.4279         53.4279         80.1011         426.5844
AS2F  D         23.1991         23.1991         47.8514         214.7819
CC1F  U         19.9245         19.9245         41.0297         188.7800
EC1F  D         26.3055         26.3055         55.3756         504.1291
EC2F  D         26.6405         26.6405         51.8627         470.6175
EC3F  D         50.6117         50.6117         98.2362        1343.7451
 1093037     736047.6999402  -129.9818    45.9434    1.522
AS1G  U        362.9996        362.9996       3252.1791        9870.3598
AS2G  D        223.6412        223.6412       1002.2135        4398.5653
CC1G  U        786.9088        786.9088       3747.3563        5960.9700
EC1G  D        336.9191        336.9191      11475.7058      122269.6955
EC2G  D        423.2290        423.2290       6877.9796       30953.7333
EC3G  D        293.0237        293.0237       1458.0871       93056.9992
ID1G  U         83.5591         83.5591        826.6771        5190.3821
#
104   736631.8247092   -129.9993   45.9457   0.66
 511791     740016.1884274  -129.9761    45.9475    1.701
AS1A  D         71.4305         71.4305       8904.6413       12881.5343
AS2A  D         38.3046         38.3046       3566.6520        6704.0998
CC1A  U         91.7524         91.7524      25690.5872       25675.4448
EC1A  U         40.6219         40.6219      20648.0184      101288.2602
EC2A  D         51.3109         51.3109       9721.6470       69015.7124
EC3A  D         76.5439         76.5439      23120.2349       93905.8755
ID1A  D        169.6001        169.6001       3361.8695        7290.3409
 1502181     736078.2422453  -130.0000    45.9491    0.028
AS1B  D       1529.2049       1529.2049       2370.7066       28522.2151
AS2B  D       1574.7810       1574.7810      10452.9844       49394.6685
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  U       6644.7767       6644.7767      17985.7031      260558.2859
EC2B  D       1050.3573       1050.3573       8699.5205       61565.6097
EC3B  D       1970.3755       1970.3755       9375.6226       93051.7329
ID1B  D        893.5108        893.5108       1280.0052        8485.2545
 1157063     736081.3921941  -129.9978    45.9497    0.158
AS1C  D        190.3189        190.3189       1424.1827       19832.5252
AS2C  D        275.6297        275.6297       3069.7133        9165.1830
EC1C  U        201.8017        201.8017      12053.9183      150299.3422
EC2C  D        209.3624        209.3624       5400.0160       49901.7513
EC3C  D        256.1677        256.1677       4023.9522       77774.4845
ID1C  D          1.0000          1.0000          1.0000           1.0000
 1163121     736084.6153340  -130.0032    45.9531    0.639
AS1D  D         50.3811         50.3811        665.8327        1115.3314
CC1D  U        975.5918        975.5918       4023.7119        4023.7119
EC1D  U        174.9135        174.9135       1787.6932        1787.6932
EC2D  D        139.5711        139.5711       1772.1897        1782.2087
EC3D  D         59.1621         59.1621        902.3972        1250.4168
ID1D  D         40.7404         40.7404        580.1251         951.4468
 1088585     736045.7630417  -130.0112    45.9464    0.162
AS2E  D         41.1812         41.1812         94.4179         374.3034
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  U         28.5697         28.5697        188.3576        1174.7200
EC2E  D         21.2504         21.2504         96.3015         266.9276
EC3E  D         34.5699         34.5699        121.4434         639.9130
ID1E  D         28.7219         28.7219        162.6096         248.6671
 1503577     736078.3694770  -129.9867    45.9297    1.160
AS1F  D       6943.9038       6943.9038       9374.0717       18486.6987
AS2F  D       4740.7921       4740.7921      11931.1139       21912.8681
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  U       4398.7211       4398.7211      43000.9023      216360.9148
EC2F  D       5692.4900       5692.4900      17528.7220       61368.9365
ID1F  D       4655.1315       4655.1315       6613.4359       25840.1943
 1075187     736038.2022453  -130.0198    45.9445    0.768
AS1G  D         26.2747         26.2747         62.1605         244.3965
AS2G  D         25.6500         25.6500        138.5157         407.6953
CC1G  U         32.4234         32.4234        164.0386         364.9118
EC1G  U          1.0000          1.0000          1.0000           1.0000
EC3G  D         35.5939         35.5939         67.2889         367.5877
ID1G  D         25.4518         25.4518         34.3341         108.8630
#
105   736605.3650356   -129.9941   45.9620   1.53
 510335     740017.1429314  -129.9797    45.9545    1.946
AS1A  U         54.2861         54.2861       5125.1433        4217.2727
AS2A  U         50.9094         50.9094       2182.1976        1574.1555
CC1A  U        103.1084        103.1084      18702.3314       14515.7582
EC1A  U         49.0787         49.0787       8260.0523       32716.3877
EC2A  U         39.4386         39.4386       6061.8671       16203.5863
EC3A  U         68.7978         68.7978       4935.0006       13356.0206
ID1A  U         77.1606         77.1606        630.7268        1309.8475
 1502392     736078.2665091  -129.9922    45.9660    1.912
AS1B  U       4852.4332       4852.4332       9913.5651       77812.0153
AS2B  U       5505.7148       5505.7148      14579.0371       59725.3794
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  U       8352.6957       8352.6957      60013.7476      865409.6322
EC2B  U       4852.8072       4852.8072      25751.1914      252592.3818
EC3B  U       5468.0510       5468.0510      23869.0462      280586.6013
ID1B  U       2612.3850       2612.3850       6832.6949       34053.3656
 1027375     735992.4363375  -129.9984    45.9502    0.281
AS2C  U         79.0574         79.0574        275.7424        2582.7249
CC1C  U        135.5355        135.5355       2222.4809       22866.9762
EC1C  U         83.4331         83.4331        357.3040       16712.3737
EC2C  U        239.9944        239.9944       1601.7535        8589.2429
EC3C  U         59.6223         59.6223        245.7950       15164.8268
ID1C  U         64.3995         64.3995        156.5929        1365.9452
 1031741     735995.8779694  -129.9959    45.9625    1.626
AS1D  U         32.6753         32.6753        140.4720         701.9116
AS2D  U         23.7876         23.7876        275.3223         796.4474
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  U         31.0049         31.0049        942.2226       16255.8538
EC2D  U         23.0339         23.0339        562.1706        3440.6674
EC3D  U         36.5764         36.5764        524.1354        4868.5940
ID1D  U         39.4839         39.4839        100.2784         465.1199
 1089999     736046.6818452  -129.9946    45.9660    1.672
AS1E  U         25.6536         25.6536        110.7986         748.9225
AS2E  U         32.4241         32.4241        150.2890         670.8639
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  U         30.2477         30.2477        858.0391        7296.6267
EC2E  U         24.6669         24.6669        415.0461        2237.2281
EC3E  U         36.8137         36.8137        375.8309        3586.2771
ID1E  U         30.5059         30.5059        112.7478         414.1175
 1502025     736078.2223639  -130.0004    45.9700    1.790
AS1F  U       3123.3095       3123.3095      17753.1003      334872.1304
CC1F  U       6439.9661       6439.9661      35530.5612      417961.5598
EC1F  U       2876.2279       2876.2279      87153.5046     1139610.3820
EC2F  U       1350.7098       1350.7098      34775.8230      255762.9340
EC3F  U       1849.3473       1849.3473      38228.1111      390143.9227
ID1F  U          1.0000          1.0000          1.0000           1.0000
 1061518     736028.9272925  -129.9978    45.9649    1.506
AS1G  U         13.4205         13.4205         74.3505        1089.9149
AS2G  U         17.3398         17.3398        414.4559        1635.2586
CC1G  U          1.0000          1.0000          1.0000           1.0000
EC1G  U         22.4371         22.4371       2256.7450       15298.2421
EC2G  U         11.7142         11.7142        946.9977        4584.5570
EC3G  U         24.0388         24.0388        827.4468        6355.7807
ID1G  U         25.8392         25.8392        180.5797         721.6602
#
106   736599.9807981   -129.9848   45.9490   1.60
 510390     740017.3000204  -129.9793    45.9513    1.806
AS1A  U         69.9679         69.9679       1864.3834        3778.0422
AS2A  D         48.5995         48.5995       1076.7776        2172.8916
CC1A  U         91.6585         91.6585      14255.5387        8543.3666
EC1A  D         63.1170         63.1170      19460.6285       38412.4515
EC2A  D         51.3426         51.3426       6967.9867       16421.0739
EC3A  D         60.9895         60.9895       4648.3243       19560.3814
ID1A  D         97.5019         97.5019        678.0256        1345.4508
 1103418     736053.5515866  -129.9823    45.9389    1.442
AS1B  U         31.6851         31.6851        257.7204        1673.6147
AS2B  D         25.3554         25.3554        193.0330         319.6488
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         78.4909         78.4909        420.0733        3539.0596
EC2B  D         49.6438         49.6438        613.2135        4455.6890
EC3B  D        205.4025        205.4025        533.4426        8732.0672
ID1B  D         24.7885         24.7885         83.9713         210.7660
 1046478     736012.0089867  -129.9822    45.9434    1.559
AS1C  U         33.8079         33.8079        143.4876         439.2142
AS2C  D         39.9899         39.9899         52.9107         159.3811
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D         23.8629         23.8629        283.3811        2529.4314
EC2C  D         29.3507         29.3507        336.3763         958.9608
EC3C  D         49.4231         49.4231         91.0813        3171.2632
ID1C  D         34.5163         34.5163         50.2961         238.0408
 1060264     736028.1223464  -129.9867    45.9499    1.661
AS1D  U         53.4279         53.4279         80.1011         426.5844
AS2D  D         23.1991         23.1991         47.8514         214.7819
CC1D  U         19.9245         19.9245         41.0297         188.7800
EC1D  D         26.3055         26.3055         55.3756         504.1291
EC2D  D         26.6405         26.6405         51.8627         470.6175
EC3D  D         50.6117         50.6117         98.2362        1343.7451
 1093114     736047.7095871  -129.9815    45.9428    1.513
AS1E  U         23.8856         23.8856        344.0926        1064.0412
AS2E  D         29.8328         29.8328         89.8912         372.2233
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  D         43.6720         43.6720       1045.1794        8397.6313
EC2E  D         55.2086         55.2086        882.1690        3084.4821
EC3E  D        172.0668        172.0668        894.8434        9939.6519
ID1E  D         39.9007         39.9007        156.3037         644.0036
 1034687     735998.0347294  -129.9816    45.9434    1.546
AS1F  U         69.6054         69.6054        219.2100         564.4842
AS2F  D         46.4195         46.4195        148.1946         290.0306
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         76.5921         76.5921        645.9772        6359.5860
EC2F  D         56.1608         56.1608        475.7143        1840.5863
EC3F  D        152.5199        152.5199        381.3804        5618.9052
ID1F  D         44.4451         44.4451         81.7568         411.6463
 1083284     736043.1383302  -130.0004    45.9731    1.701
AS1G  U         41.8599         41.8599        462.3437        4375.9267
AS2G  D         49.8105         49.8105       1515.5913        6311.1046
CC1G  U         76.3954         76.3954        794.7866        7521.9511
EC1G  D         63.3278         63.3278       1272.3849       20316.0053
EC2G  D         48.1114         48.1114        783.5277        6870.7030
EC3G  D         75.7961         75.7961        552.3519       13891.8293
ID1G  D         32.1298         32.1298        122.2635        1599.4687
#
107   737054.8624245   -129.9921   45.9432   1.19
 512313     740019.2942138  -129.9790    45.9428    1.589
AS1A  U         63.9184         63.9184       3870.8423        8061.4052
AS2A  U         39.3148         39.3148         41.0799        2791.3840
CC1A  U         70.8943         70.8943       2326.5192        6062.4644
EC1A  D         54.6727         54.6727       7705.7379       13135.4486
EC2A  U         39.2396         39.2396       5175.4458       19443.4026
EC3A  D         51.5210         51.5210       3186.7705       23488.4017
ID1A  U         55.9389         55.9389        565.2638        2037.9643
 1070760     736035.7962355  -129.9825    45.9422    1.522
AS1B  U         41.7276         41.7276        511.7273        1164.1850
AS2B  U         29.4501         29.4501        205.9628         408.4628
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         80.6830         80.6830        870.0064        8295.8361
EC2B  U        113.6183        113.6183        518.7784        1417.0482
EC3B  D        104.6322        104.6322       1085.1056        5297.8815
 1024527     735986.1260609  -129.9967    45.9501    0.450
AS2C  U         32.3608         32.3608         60.6482         214.7694
CC1C  U         47.4625         47.4625       1343.8131        1382.1645
EC1C  D         27.6359         27.6359        294.7969        2038.0781
EC2C  U         32.8403         32.8403         93.4180         930.6936
EC3C  D         50.6844         50.6844        116.2433        1110.8820
ID1C  U         32.9316         32.9316         44.0793         129.8136
 1202890     737199.7771279  -129.9976    45.9562    0.691
AS1D  U         21.5525         21.5525        105.0986         548.2093
AS2D  U         24.5935         24.5935        118.4805         483.2926
CC1D  U         29.2362         29.2362       1025.9234        4283.7312
EC1D  D         17.8197         17.8197        591.0060        5189.4761
EC2D  U         27.9583         27.9583        325.8458        1736.5196
EC3D  D         19.2097         19.2097        266.2735        3244.0519
ID1D  U         38.8256         38.8256         43.4773         221.6542
 1125629     736065.0081689  -129.9812    45.9363    1.491
AS1E  U         52.7315         52.7315        455.8922         324.9390
AS2E  U         28.9674         28.9674         94.2229         142.1581
CC1E  U         42.8453         42.8453         55.7832          91.4519
EC1E  D         38.2096         38.2096         60.4505         600.9744
EC3E  D         98.9683         98.9683        496.4616        4780.5433
ID1E  U         27.5584         27.5584        162.1076         365.3008
 1338520     738088.2622014  -129.9874    45.9383    1.275
AS1F  U         51.3057         51.3057        522.0987         992.2426
AS2F  U         31.8465         31.8465         76.7313         220.5513
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         34.8312         34.8312        133.0393         684.3736
EC2F  U         46.3378         46.3378        453.6607        1259.4655
EC3F  D         42.2233         42.2233        360.1168        4253.6038
ID1F  U         62.4740         62.4740        137.2557         397.9768
 1025694     735989.7729630  -130.0200    45.9368    1.285
AS1G  U         37.2779         37.2779         91.0918         260.4511
AS2G  U         39.0623         39.0623        252.4648         842.8678
CC1G  U         46.0392         46.0392        131.6654         269.6917
EC1G  D         33.8705         33.8705         48.3076         440.4016
EC2G  U         38.8962         38.8962         62.6831         459.1400
EC3G  D         50.6022         50.6022         73.9179         675.9760
#
108   736779.7608388   -129.9822   45.9390   1.49
 512315     740019.2943145  -129.9802    45.9427    1.554
AS1A  U        681.2520        681.2520      40655.6620      107347.2641
AS2A  U        574.6414        574.6414      26365.7588       44517.2052
CC1A  U        694.1429        694.1429      27390.1200       75894.6070
EC1A  D       2053.3889       2053.3889     113214.6246      135805.1379
EC2A  D       2990.1328       2990.1328      47388.2214      215081.5818
EC3A  D       3697.2448       3697.2448      37347.2979      275806.1881
