EC2G OO  HHZ I U
EC3G OO  EHZ I D
                                                                    107 
2017 325181536.4745N56.34129W58.93 1.49  0.30  0.20 1.00            108 
AS1A OO  EHZ I U
AS2A OO  EHZ I U
CC1A OO  HHZ I U
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I D
ID1A OO  EHZ I U
AS1B OO  EHZ I U
AS2B OO  EHZ I U
CC1B OO  HHZ I U
EC1B OO  EHZ I D
EC2B OO  HHZ I D
EC3B OO  EHZ I D
ID1B OO  EHZ I U
AS1C OO  EHZ I U
CC1C OO  HHZ I U
EC1C OO  EHZ I D
EC2C OO  HHZ I D
EC3C OO  EHZ I D
ID1C OO  EHZ I U
AS1D OO  EHZ I U
AS2D OO  EHZ I U
CC1D OO  HHZ I U
EC1D OO  EHZ I D
EC2D OO  HHZ I D
ID1D OO  EHZ I U
AS1E OO  EHZ I U
AS2E OO  EHZ I U
CC1E OO  HHZ I U
EC1E OO  EHZ I D
EC2E OO  HHZ I D
EC3E OO  EHZ I D
ID1E OO  EHZ I U
AS1F OO  EHZ I U
AS2F OO  EHZ I U
CC1F OO  HHZ I U
EC1F OO  EHZ I D
EC2F OO  HHZ I D
EC3F OO  EHZ I D
ID1F OO  EHZ I U
AS1G OO  EHZ I U
AS2G OO  EHZ I U
CC1G OO  HHZ I U
EC1G OO  EHZ I D
EC2G OO  HHZ I D
EC3G OO  EHZ I D
ID1G OO  EHZ I U
                                                                    108 
2017 3251258 0.5245N56.41129W58.91 1.54  0.30  0.20 1.00            109 
AS1A OO  EHZ I U
AS2A OO  EHZ I U
CC1A OO  HHZ I U
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I D
ID1A OO  EHZ I U
AS1B OO  EHZ I U
AS2B OO  EHZ I U
CC1B OO  HHZ I U
EC1B OO  EHZ I D
EC2B OO  HHZ I D
ID1B OO  EHZ I U
AS1C OO  EHZ I U
AS2C OO  EHZ I U
CC1C OO  HHZ I U
EC1C OO  EHZ I D
EC2C OO  HHZ I D
EC3C OO  EHZ I D
ID1C OO  EHZ I U
AS1D OO  EHZ I U
AS2D OO  EHZ I U
CC1D OO  HHZ I U
EC1D OO  EHZ I D
EC2D OO  HHZ I D
EC3D OO  EHZ I D
ID1D OO  EHZ I U
AS1E OO  EHZ I U
AS2E OO  EHZ I U
CC1E OO  HHZ I U
EC1E OO  EHZ I D
EC2E OO  HHZ I D
EC3E OO  EHZ I D
ID1E OO  EHZ I U
AS1F OO  EHZ I U
AS2F OO  EHZ I U
CC1F OO  HHZ I U
EC1F OO  EHZ I D
EC2F OO  HHZ I D
EC3F OO  EHZ I D
ID1F OO  EHZ I U
AS1G OO  EHZ I U
AS2G OO  EHZ I U
EC1G OO  EHZ I D
EC2G OO  HHZ I D
EC3G OO  EHZ I D
ID1G OO  EHZ I U
                                                                    109 
201611 1161816.3645N56.57130W 0.46 0.65  0.30  0.20 1.00            110 
AS1A OO  EHZ I D
AS2A OO  EHZ I D
CC1A OO  HHZ I D
EC1A OO  EHZ I D
EC2A OO  HHZ I U
EC3A OO  EHZ I D
ID1A OO  EHZ I D
AS1B OO  EHZ I D
AS2B OO  EHZ I D
CC1B OO  HHZ I D
EC1B OO  EHZ I D
EC2B OO  HHZ I U
EC3B OO  EHZ I D
ID1B OO  EHZ I D
AS1C OO  EHZ I D
AS2C OO  EHZ I D
CC1C OO  HHZ I D
EC1C OO  EHZ I D
EC2C OO  HHZ I U
ID1C OO  EHZ I D
AS2D OO  EHZ I D
CC1D OO  HHZ I D
EC1D OO  EHZ I D
EC2D OO  HHZ I U
EC3D OO  EHZ I D
ID1D OO  EHZ I D
AS2E OO  EHZ I D
CC1E OO  HHZ I D
EC1E OO  EHZ I D
EC2E OO  HHZ I U
