             100  45  45   0 1
AS1A   202.0   57.0  1  1    0.00    0.00
AS2A   245.3   88.0  1  1    0.00    0.00
CC1A   328.5   92.8 -1 -1    0.00    0.00
EC1A    48.2   89.2  1  1    0.00    0.00
EC2A    90.0   89.6  1  1    0.00    0.00
EC3A   106.8   85.2 -1 -1    0.00    0.00
ID1A   138.6   94.1 -1 -1    0.00    0.00
AS1B   202.0   57.0  1  1    0.00    0.00
AS2B   245.3   88.0  1  1    0.00    0.00
CC1B   328.5   92.8 -1 -1    0.00    0.00
EC2B    90.0   89.6  1  1    0.00    0.00
EC3B   106.8   85.2 -1 -1    0.00    0.00
ID1B   138.6   94.1 -1 -1    0.00    0.00
AS1C   202.0   57.0  1  1    0.00    0.00
AS2C   245.3   88.0  1  1    0.00    0.00
CC1C   328.5   92.8 -1 -1    0.00    0.00
EC1C    48.2   89.2  1  1    0.00    0.00
EC2C    90.0   89.6  1  1    0.00    0.00
EC3C   106.8   85.2 -1 -1    0.00    0.00
AS1D   202.0   57.0  1  1    0.00    0.00
AS2D   245.3   88.0  1  1    0.00    0.00
CC1D   328.5   92.8 -1 -1    0.00    0.00
EC1D    48.2   89.2  1  1    0.00    0.00
EC2D    90.0   89.6  1  1    0.00    0.00
EC3D   106.8   85.2 -1 -1    0.00    0.00
ID1D   138.6   94.1 -1 -1    0.00    0.00
AS1E   202.0   57.0  1  1    0.00    0.00
AS2E   245.3   88.0  1  1    0.00    0.00
CC1E   328.5   92.8 -1 -1    0.00    0.00
EC1E    48.2   89.2  1  1    0.00    0.00
EC2E    90.0   89.6  1  1    0.00    0.00
EC3E   106.8   85.2 -1 -1    0.00    0.00
AS1F   202.0   57.0  1  1    0.00    0.00
AS2F   245.3   88.0  1  1    0.00    0.00
EC1F    48.2   89.2  1  1    0.00    0.00
EC2F    90.0   89.6  1  1    0.00    0.00
EC3F   106.8   85.2 -1 -1    0.00    0.00
ID1F   138.6   94.1 -1 -1    0.00    0.00
AS1G   202.0   57.0  1  1    0.00    0.00
AS2G   245.3   88.0  1  1    0.00    0.00
CC1G   328.5   92.8 -1 -1    0.00    0.00
EC1G    48.2   89.2  1  1    0.00    0.00
EC2G    90.0   89.6  1  1    0.00    0.00
EC3G   106.8   85.2 -1 -1    0.00    0.00
ID1G   138.6   94.1 -1 -1    0.00    0.00
             101  44  44   0 1
AS1A   188.0  119.3 -1 -1    0.00    0.00
AS2A   214.6  120.3  1  1    0.00    0.00
CC1A   282.1   92.9  1  1    0.00    0.00
EC1A   105.9   98.2  1  1    0.00    0.00
EC2A   131.0  119.8  1  1    0.00    0.00
EC3A   144.8  119.9  1  1    0.00    0.00
ID1A   155.9  122.5 -1  1    0.00    0.00
AS1B   188.0  119.3 -1 -1    0.00    0.00
AS2B   214.6  120.3  1  1    0.00    0.00
CC1B   282.1   92.9  1  1    0.00    0.00
EC2B   131.0  119.8  1  1    0.00    0.00
EC3B   144.8  119.9  1  1    0.00    0.00
ID1B   155.9  122.5 -1  1    0.00    0.00
AS1C   188.0  119.3 -1 -1    0.00    0.00
AS2C   214.6  120.3  1  1    0.00    0.00
CC1C   282.1   92.9  1  1    0.00    0.00
EC2C   131.0  119.8  1  1    0.00    0.00
EC3C   144.8  119.9  1  1    0.00    0.00
ID1C   155.9  122.5 -1  1    0.00    0.00
AS1D   188.0  119.3 -1 -1    0.00    0.00
AS2D   214.6  120.3  1  1    0.00    0.00
CC1D   282.1   92.9  1  1    0.00    0.00
EC2D   131.0  119.8  1  1    0.00    0.00
EC3D   144.8  119.9  1  1    0.00    0.00
ID1D   155.9  122.5 -1  1    0.00    0.00
AS2E   214.6  120.3  1  1    0.00    0.00
CC1E   282.1   92.9  1  1    0.00    0.00
EC1E   105.9   98.2  1  1    0.00    0.00
EC2E   131.0  119.8  1  1    0.00    0.00
EC3E   144.8  119.9  1  1    0.00    0.00
ID1E   155.9  122.5 -1  1    0.00    0.00
AS1F   188.0  119.3 -1 -1    0.00    0.00
AS2F   214.6  120.3  1  1    0.00    0.00
CC1F   282.1   92.9  1  1    0.00    0.00
EC1F   105.9   98.2  1  1    0.00    0.00
EC2F   131.0  119.8  1  1    0.00    0.00
EC3F   144.8  119.9  1  1    0.00    0.00
ID1F   155.9  122.5 -1  1    0.00    0.00
AS2G   214.6  120.3  1  1    0.00    0.00
CC1G   282.1   92.9  1  1    0.00    0.00
EC1G   105.9   98.2  1  1    0.00    0.00
EC2G   131.0  119.8  1  1    0.00    0.00
EC3G   144.8  119.9  1  1    0.00    0.00
ID1G   155.9  122.5 -1  1    0.00    0.00
             102  43  43   0 1
AS1A   124.7  102.9  1  1    0.00    0.00
AS2A   178.7   77.6  1  1    0.00    0.00
CC1A    15.3  107.7 -1 -1    0.00    0.00
EC1A    70.0  121.0 -1 -1    0.00    0.00
EC2A    92.4  122.0  1 -1    0.00    0.00
EC3A   100.8  121.0 -1  1    0.00    0.00
ID1A   120.9  122.5  1  1    0.00    0.00
AS1B   124.7  102.9  1  1    0.00    0.00
CC1B    15.3  107.7 -1 -1    0.00    0.00
EC1B    70.0  121.0 -1 -1    0.00    0.00
EC2B    92.4  122.0  1 -1    0.00    0.00
EC3B   100.8  121.0 -1  1    0.00    0.00
ID1B   120.9  122.5  1  1    0.00    0.00
AS2C   178.7   77.6  1  1    0.00    0.00
CC1C    15.3  107.7 -1 -1    0.00    0.00
EC1C    70.0  121.0 -1 -1    0.00    0.00
EC2C    92.4  122.0  1 -1    0.00    0.00
EC3C   100.8  121.0 -1  1    0.00    0.00
ID1C   120.9  122.5  1  1    0.00    0.00
AS1D   124.7  102.9  1  1    0.00    0.00
AS2D   178.7   77.6  1  1    0.00    0.00
CC1D    15.3  107.7 -1 -1    0.00    0.00
EC1D    70.0  121.0 -1 -1    0.00    0.00
EC2D    92.4  122.0  1 -1    0.00    0.00
ID1D   120.9  122.5  1  1    0.00    0.00
AS2E   178.7   77.6  1  1    0.00    0.00
CC1E    15.3  107.7 -1 -1    0.00    0.00
EC1E    70.0  121.0 -1 -1    0.00    0.00
EC2E    92.4  122.0  1 -1    0.00    0.00
EC3E   100.8  121.0 -1  1    0.00    0.00
ID1E   120.9  122.5  1  1    0.00    0.00
AS1F   124.7  102.9  1  1    0.00    0.00
AS2F   178.7   77.6  1  1    0.00    0.00
CC1F    15.3  107.7 -1 -1    0.00    0.00
EC1F    70.0  121.0 -1 -1    0.00    0.00
EC2F    92.4  122.0  1 -1    0.00    0.00
EC3F   100.8  121.0 -1  1    0.00    0.00
AS1G   124.7  102.9  1  1    0.00    0.00
AS2G   178.7   77.6  1  1    0.00    0.00
CC1G    15.3  107.7 -1 -1    0.00    0.00
EC1G    70.0  121.0 -1 -1    0.00    0.00
EC2G    92.4  122.0  1 -1    0.00    0.00
EC3G   100.8  121.0 -1  1    0.00    0.00
             103  45  45   0 1
AS1A   235.8   53.1  1  1    0.00    0.00
AS2A   250.1   68.9 -1 -1    0.00    0.00
CC1A   303.5   67.3  1  1    0.00    0.00
EC1A     8.5   31.6 -1 -1    0.00    0.00
EC2A   114.0   24.4 -1 -1    0.00    0.00
EC3A   161.6   26.3 -1 -1    0.00    0.00
ID1A   171.9   56.3  1  1    0.00    0.00
AS2B   250.1   68.9 -1 -1    0.00    0.00
CC1B   303.5   67.3  1  1    0.00    0.00
EC1B     8.5   31.6 -1 -1    0.00    0.00
EC2B   114.0   24.4 -1 -1    0.00    0.00
EC3B   161.6   26.3 -1 -1    0.00    0.00
ID1B   171.9   56.3  1  1    0.00    0.00
AS1C   235.8   53.1  1  1    0.00    0.00
AS2C   250.1   68.9 -1 -1    0.00    0.00
CC1C   303.5   67.3  1  1    0.00    0.00
EC1C     8.5   31.6 -1 -1    0.00    0.00
EC2C   114.0   24.4 -1 -1    0.00    0.00
EC3C   161.6   26.3 -1 -1    0.00    0.00
ID1C   171.9   56.3  1  1    0.00    0.00
AS1D   235.8   53.1  1  1    0.00    0.00
AS2D   250.1   68.9 -1 -1    0.00    0.00
CC1D   303.5   67.3  1  1    0.00    0.00
EC1D     8.5   31.6 -1 -1    0.00    0.00
EC2D   114.0   24.4 -1 -1    0.00    0.00
EC3D   161.6   26.3 -1 -1    0.00    0.00
AS1E   235.8   53.1  1  1    0.00    0.00
CC1E   303.5   67.3  1  1    0.00    0.00
EC1E     8.5   31.6 -1 -1    0.00    0.00
EC2E   114.0   24.4 -1 -1    0.00    0.00
EC3E   161.6   26.3 -1 -1    0.00    0.00
ID1E   171.9   56.3  1  1    0.00    0.00
AS1F   235.8   53.1  1  1    0.00    0.00
AS2F   250.1   68.9 -1 -1    0.00    0.00
CC1F   303.5   67.3  1  1    0.00    0.00
EC1F     8.5   31.6 -1 -1    0.00    0.00
EC2F   114.0   24.4 -1 -1    0.00    0.00
EC3F   161.6   26.3 -1 -1    0.00    0.00
AS1G   235.8   53.1  1  1    0.00    0.00
AS2G   250.1   68.9 -1 -1    0.00    0.00
CC1G   303.5   67.3  1  1    0.00    0.00
EC1G     8.5   31.6 -1 -1    0.00    0.00
EC2G   114.0   24.4 -1 -1    0.00    0.00
EC3G   161.6   26.3 -1 -1    0.00    0.00
ID1G   171.9   56.3  1  1    0.00    0.00
             106  48  48   0 1
AS1A   212.9   64.2  1  1    0.00    0.00
AS2A   233.2   74.2 -1 -1    0.00    0.00
CC1A   288.8   62.9  1  1    0.00    0.00
EC1A    80.8   17.5 -1 -1    0.00    0.00
EC2A   140.6   49.6 -1 -1    0.00    0.00
EC3A   161.2   53.9 -1 -1    0.00    0.00
ID1A   168.5   72.3 -1 -1    0.00    0.00
AS1B   212.9   64.2  1  1    0.00    0.00
AS2B   233.2   74.2 -1 -1    0.00    0.00
CC1B   288.8   62.9  1  1    0.00    0.00
EC1B    80.8   17.5 -1 -1    0.00    0.00
EC2B   140.6   49.6 -1 -1    0.00    0.00
EC3B   161.2   53.9 -1 -1    0.00    0.00
ID1B   168.5   72.3 -1 -1    0.00    0.00
AS1C   212.9   64.2  1  1    0.00    0.00
AS2C   233.2   74.2 -1 -1    0.00    0.00
CC1C   288.8   62.9  1  1    0.00    0.00
EC1C    80.8   17.5 -1 -1    0.00    0.00
EC2C   140.6   49.6 -1 -1    0.00    0.00
EC3C   161.2   53.9 -1 -1    0.00    0.00
