2017  6 23  1 16  4.020  1.0   45.9397  -129.9957   0.87   0.2000   0.3000    45   268              100    98.1   65.6  -172.1   35.3   37.4   0.000  D   0.464 0.31
        100.00    90.00   140.00  -0.9848  -0.1736  -0.0000   0.1330  -0.7544  -0.6428
        109.64    50.00   170.00   0.7215   0.2574   0.6428  -0.4361   0.8900   0.1330
        275.00    85.00  -140.00  -0.9924  -0.0868   0.0872   0.0110  -0.7680  -0.6403
        117.69    10.00  -125.00   0.1538   0.0807   0.9848   0.4477   0.8828  -0.1422
        100.29    75.00  -160.00   0.9504   0.1725   0.2588  -0.0807   0.9404  -0.3304
        287.75    80.00   150.00  -0.9379  -0.3002   0.1736   0.3467  -0.7984   0.4924
         84.71    70.00   105.00   0.9357  -0.0867   0.3420  -0.3051   0.2882   0.9077
        107.56    35.00  -130.00   0.5468   0.1731   0.8192   0.4043   0.8022  -0.4394
        104.12    45.00  -130.00   0.6858   0.1725   0.7071   0.3685   0.7555  -0.5417
        265.00    90.00  -140.00   0.9962  -0.0872  -0.0000   0.0668   0.7631   0.6428
        306.00    65.00  -135.00  -0.7332  -0.5327   0.4226   0.1739  -0.7477  -0.6409
        277.61    80.00  -160.00  -0.9761  -0.1303   0.1736   0.0655  -0.9393  -0.3368
        272.77    65.00  -160.00  -0.9052  -0.0438   0.4226  -0.0990  -0.9456  -0.3100
        101.61    60.00   175.00   0.8483   0.1743   0.5000  -0.2432   0.9670   0.0755
         90.00    65.00   175.00   0.9063   0.0000   0.4226  -0.0368   0.9962   0.0790
        280.00    90.00  -160.00   0.9848   0.1736  -0.0000  -0.1632   0.9254   0.3420
         90.00    85.00   170.00   0.9962   0.0000   0.0872  -0.0151   0.9848   0.1730
         85.00    85.00  -145.00   0.9924  -0.0868   0.0872   0.1212   0.8117  -0.5714
        278.31    65.00  -120.00  -0.8968  -0.1310   0.4226  -0.2899  -0.5476  -0.7849
        117.69    65.00  -155.00   0.8025   0.4212   0.4226  -0.2630   0.8855  -0.3830
         95.14    75.00  -125.00   0.9620   0.0866   0.2588   0.1597   0.5903  -0.7912
        105.65    40.00  -160.00   0.6190   0.1734   0.7660  -0.0012   0.9755  -0.2198
        107.56    35.00  -135.00   0.5468   0.1731   0.8192   0.3389   0.8489  -0.4056
         95.81    60.00   125.00   0.8616   0.0876   0.5000  -0.4655   0.5292   0.7094
         95.00    85.00   150.00   0.9924   0.0868   0.0872  -0.1189   0.8589   0.4981
        285.65    40.00  -125.00  -0.6190  -0.1734   0.7660  -0.4495  -0.7216  -0.5265
        264.86    75.00  -145.00  -0.9620   0.0866   0.2588  -0.2213  -0.8025  -0.5540
         95.00    85.00   165.00   0.9924   0.0868   0.0872  -0.1067   0.9603   0.2578
         90.00    70.00  -165.00   0.9397   0.0000   0.3420   0.0885   0.9659  -0.2432
        110.00    90.00   160.00  -0.9397  -0.3420  -0.0000   0.3214  -0.8830  -0.3420
        127.89    15.00  -155.00   0.2042   0.1590   0.9659  -0.2345   0.9659  -0.1094
         90.00    65.00   150.00   0.9063   0.0000   0.4226  -0.2113   0.8660   0.4532
        266.47    45.00   155.00  -0.7058   0.0435   0.7071   0.2425  -0.9230   0.2988
        100.59    70.00   130.00   0.9237   0.1727   0.3420  -0.3757   0.5837   0.7198
         83.45    50.00  -165.00   0.7611  -0.0873   0.6428   0.2754   0.9407  -0.1983
         84.19    60.00   170.00   0.8616  -0.0876   0.5000   0.0132   0.9885   0.1504
        275.29    70.00  -115.00  -0.9357  -0.0867   0.3420  -0.2697  -0.4494  -0.8517
        106.62    65.00   180.00   0.8685   0.2592   0.4226  -0.2859   0.9582   0.0000
        101.08    65.00   135.00   0.8894   0.1741   0.4226  -0.4291   0.6365   0.6409
        104.12    45.00  -130.00   0.6858   0.1725   0.7071   0.3685   0.7555  -0.5417
        111.18    70.00  -165.00   0.8762   0.3395   0.3420  -0.2664   0.9327  -0.2432
         90.00    55.00  -175.00   0.8192   0.0000   0.5736   0.0500   0.9962  -0.0714
        270.00    90.00   170.00   1.0000   0.0000  -0.0000  -0.0000   0.9848  -0.1736
        110.57    75.00   155.00   0.9043   0.3394   0.2588  -0.4209   0.8101   0.4082
         90.00    55.00   135.00   0.8192   0.0000   0.5736  -0.4056   0.7071   0.5792
        277.61    80.00  -105.00  -0.9761  -0.1303   0.1736  -0.1320  -0.2787  -0.9513
        105.43    75.00  -165.00   0.9311   0.2570   0.2588  -0.1924   0.9489  -0.2500
        101.61    60.00   170.00   0.8483   0.1743   0.5000  -0.2833   0.9472   0.1504
        277.61    80.00  -110.00  -0.9761  -0.1303   0.1736  -0.1165  -0.3606  -0.9254
         97.06    45.00  -170.00   0.7017   0.0869   0.7071   0.0008   0.9924  -0.1228
         90.00    80.00   135.00   0.9848   0.0000   0.1736  -0.1228   0.7071   0.6964
         90.00    55.00  -165.00   0.8192   0.0000   0.5736   0.1485   0.9659  -0.2120
