100     45
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                     84.756     84.756     84.756   1069.601
EC2B HHZ OO                     95.932     95.932     95.932    242.140
EC3B EHZ OO                    119.820    119.820    119.820    418.397
ID1B EHZ OO                     48.328     48.328     48.328    371.460
AS2C EHZ OO                     57.781     57.781     57.781   1021.474
CC1C HHZ OO                      1.000      1.000      1.000      1.000
EC1C EHZ OO                    100.564    100.564    100.564    701.088
EC2C HHZ OO                    148.430    148.430    148.430    294.664
EC3C EHZ OO                     82.518     82.518     82.518    309.827
ID1C EHZ OO                     85.107     85.107     85.107    291.840
AS1D EHZ OO                    106.778    106.778    106.778   1605.475
AS2D EHZ OO                     92.451     92.451     92.451   1555.698
CC1D HHZ OO                      1.000      1.000      1.000      1.000
EC1D EHZ OO                     93.137     93.137     93.137    472.498
EC2D HHZ OO                     54.879     54.879     54.879    316.239
ID1D EHZ OO                     51.745     51.745     51.745    391.981
AS2E EHZ OO                   1529.312   1529.312   1529.312   7486.504
CC1E HHZ OO                   3080.744   3080.744   3080.744 134934.986
EC1E EHZ OO                   1832.863   1832.863   1832.863  14100.959
EC2E HHZ OO                    850.716    850.716    850.716   5126.242
EC3E EHZ OO                   1854.642   1854.642   1854.642   7753.879
ID1E EHZ OO                    612.453    612.453    612.453   5399.723
AS1F EHZ OO                     32.190     32.190     32.190     97.309
AS2F EHZ OO                     32.143     32.143     32.143    168.929
CC1F HHZ OO                     50.018     50.018     50.018     78.786
EC1F EHZ OO                     46.941     46.941     46.941     58.124
EC2F HHZ OO                     37.382     37.382     37.382     55.493
EC3F EHZ OO                     36.487     36.487     36.487     63.655
AS1G EHZ OO                     27.648     27.648     27.648    207.226
AS2G EHZ OO                     33.708     33.708     33.708    569.250
CC1G HHZ OO                     45.517     45.517     45.517     79.899
EC1G EHZ OO                     46.216     46.216     46.216     62.910
EC2G HHZ OO                     44.959     44.959     44.959     86.269
EC3G EHZ OO                     38.520     38.520     38.520     65.097
103     45
AS1A EHZ OO                     45.011     45.011     45.011   6399.388
AS2A EHZ OO                     45.603     45.603     45.603    739.148
CC1A HHZ OO                     43.115     43.115     43.115    660.154
EC1A EHZ OO                     48.222     48.222     48.222   3706.995
EC2A HHZ OO                     34.663     34.663     34.663   9900.005
EC3A EHZ OO                     46.342     46.342     46.342  13038.640
ID1A EHZ OO                    198.710    198.710    198.710    417.415
AS2B EHZ OO                    100.337    100.337    100.337    410.969
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                    233.313    233.313    233.313   3427.838
EC2B HHZ OO                    236.066    236.066    236.066   4452.668
EC3B EHZ OO                    239.557    239.557    239.557   2212.086
ID1B EHZ OO                     94.583     94.583     94.583   1358.067
AS1C EHZ OO                     26.042     26.042     26.042    383.459
AS2C EHZ OO                    150.317    150.317    150.317    852.119
CC1C HHZ OO                     41.063     41.063     41.063    178.703
EC1C EHZ OO                     31.279     31.279     31.279    344.349
EC2C HHZ OO                     16.853     16.853     16.853    389.133
EC3C EHZ OO                     33.162     33.162     33.162    823.053
ID1C EHZ OO                     23.274     23.274     23.274     98.974
AS1D EHZ OO                     36.390     36.390     36.390    188.501
AS2D EHZ OO                     23.178     23.178     23.178    150.470
CC1D HHZ OO                     30.117     30.117     30.117    236.743
EC1D EHZ OO                     42.031     42.031     42.031    545.342
EC2D HHZ OO                     23.027     23.027     23.027    417.031
EC3D EHZ OO                     33.443     33.443     33.443    407.340
AS1E EHZ OO                     42.861     42.861     42.861    533.561
CC1E HHZ OO                     77.623     77.623     77.623    213.006
EC1E EHZ OO                     30.617     30.617     30.617    312.622
EC2E HHZ OO                     32.589     32.589     32.589   1142.261
EC3E EHZ OO                    136.675    136.675    136.675   1518.450
ID1E EHZ OO                     38.859     38.859     38.859    250.130
AS1F EHZ OO                     53.428     53.428     53.428     80.101
AS2F EHZ OO                     23.199     23.199     23.199     47.851
CC1F HHZ OO                     19.924     19.924     19.924     41.030
EC1F EHZ OO                     26.305     26.305     26.305     55.376
EC2F HHZ OO                     26.640     26.640     26.640     51.863
EC3F EHZ OO                     50.612     50.612     50.612     98.236
AS1G EHZ OO                    363.000    363.000    363.000   3252.179
AS2G EHZ OO                    223.641    223.641    223.641   1002.213
CC1G HHZ OO                    786.909    786.909    786.909   3747.356
EC1G EHZ OO                    336.919    336.919    336.919  11475.706
EC2G HHZ OO                    423.229    423.229    423.229   6877.980
EC3G EHZ OO                    293.024    293.024    293.024   1458.087
ID1G EHZ OO                     83.559     83.559     83.559    826.677
104     44
AS1A EHZ OO                     71.430     71.430     71.430   8904.641
AS2A EHZ OO                     38.305     38.305     38.305   3566.652
CC1A HHZ OO                     91.752     91.752     91.752  25690.587
EC1A EHZ OO                     40.622     40.622     40.622  20648.018
EC2A HHZ OO                     51.311     51.311     51.311   9721.647
EC3A EHZ OO                     76.544     76.544     76.544  23120.235
ID1A EHZ OO                    169.600    169.600    169.600   3361.869
AS1B EHZ OO                   1529.205   1529.205   1529.205   2370.707
AS2B EHZ OO                   1574.781   1574.781   1574.781  10452.984
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                   6644.777   6644.777   6644.777  17985.703
EC2B HHZ OO                   1050.357   1050.357   1050.357   8699.521
EC3B EHZ OO                   1970.376   1970.376   1970.376   9375.623
ID1B EHZ OO                    893.511    893.511    893.511   1280.005
AS1C EHZ OO                    190.319    190.319    190.319   1424.183
AS2C EHZ OO                    275.630    275.630    275.630   3069.713
EC1C EHZ OO                    201.802    201.802    201.802  12053.918
EC2C HHZ OO                    209.362    209.362    209.362   5400.016
EC3C EHZ OO                    256.168    256.168    256.168   4023.952
ID1C EHZ OO                      1.000      1.000      1.000      1.000
AS1D EHZ OO                     50.381     50.381     50.381    665.833
CC1D HHZ OO                    975.592    975.592    975.592   4023.712
EC1D EHZ OO                    174.913    174.913    174.913   1787.693
EC2D HHZ OO                    139.571    139.571    139.571   1772.190
EC3D EHZ OO                     59.162     59.162     59.162    902.397
ID1D EHZ OO                     40.740     40.740     40.740    580.125
AS2E EHZ OO                     41.181     41.181     41.181     94.418
CC1E HHZ OO                      1.000      1.000      1.000      1.000
EC1E EHZ OO                     28.570     28.570     28.570    188.358
EC2E HHZ OO                     21.250     21.250     21.250     96.302
EC3E EHZ OO                     34.570     34.570     34.570    121.443
ID1E EHZ OO                     28.722     28.722     28.722    162.610
AS1F EHZ OO                   6943.904   6943.904   6943.904   9374.072
AS2F EHZ OO                   4740.792   4740.792   4740.792  11931.114
CC1F HHZ OO                      1.000      1.000      1.000      1.000
EC1F EHZ OO                   4398.721   4398.721   4398.721  43000.902
EC2F HHZ OO                   5692.490   5692.490   5692.490  17528.722
ID1F EHZ OO                   4655.132   4655.132   4655.132   6613.436
AS1G EHZ OO                     26.275     26.275     26.275     62.160
AS2G EHZ OO                     25.650     25.650     25.650    138.516
CC1G HHZ OO                     32.423     32.423     32.423    164.039
EC1G EHZ OO                      1.000      1.000      1.000      1.000
EC3G EHZ OO                     35.594     35.594     35.594     67.289
ID1G EHZ OO                     25.452     25.452     25.452     34.334
105     47
AS1A EHZ OO                     54.286     54.286     54.286   5125.143
AS2A EHZ OO                     50.909     50.909     50.909   2182.198
CC1A HHZ OO                    103.108    103.108    103.108  18702.331
EC1A EHZ OO                     49.079     49.079     49.079   8260.052
EC2A HHZ OO                     39.439     39.439     39.439   6061.867
EC3A EHZ OO                     68.798     68.798     68.798   4935.001
ID1A EHZ OO                     77.161     77.161     77.161    630.727
AS1B EHZ OO                   4852.433   4852.433   4852.433   9913.565
AS2B EHZ OO                   5505.715   5505.715   5505.715  14579.037
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                   8352.696   8352.696   8352.696  60013.748
EC2B HHZ OO                   4852.807   4852.807   4852.807  25751.191
EC3B EHZ OO                   5468.051   5468.051   5468.051  23869.046
ID1B EHZ OO                   2612.385   2612.385   2612.385   6832.695
AS2C EHZ OO                     79.057     79.057     79.057    275.742
CC1C HHZ OO                    135.536    135.536    135.536   2222.481
EC1C EHZ OO                     83.433     83.433     83.433    357.304
EC2C HHZ OO                    239.994    239.994    239.994   1601.754
EC3C EHZ OO                     59.622     59.622     59.622    245.795
ID1C EHZ OO                     64.400     64.400     64.400    156.593
AS1D EHZ OO                     32.675     32.675     32.675    140.472
AS2D EHZ OO                     23.788     23.788     23.788    275.322
CC1D HHZ OO                      1.000      1.000      1.000      1.000
EC1D EHZ OO                     31.005     31.005     31.005    942.223
EC2D HHZ OO                     23.034     23.034     23.034    562.171
EC3D EHZ OO                     36.576     36.576     36.576    524.135
ID1D EHZ OO                     39.484     39.484     39.484    100.278
AS1E EHZ OO                     25.654     25.654     25.654    110.799
AS2E EHZ OO                     32.424     32.424     32.424    150.289
CC1E HHZ OO                      1.000      1.000      1.000      1.000
EC1E EHZ OO                     30.248     30.248     30.248    858.039
EC2E HHZ OO                     24.667     24.667     24.667    415.046
EC3E EHZ OO                     36.814     36.814     36.814    375.831
ID1E EHZ OO                     30.506     30.506     30.506    112.748
AS1F EHZ OO                   3123.309   3123.309   3123.309  17753.100
CC1F HHZ OO                   6439.966   6439.966   6439.966  35530.561
EC1F EHZ OO                   2876.228   2876.228   2876.228  87153.505
EC2F HHZ OO                   1350.710   1350.710   1350.710  34775.823
EC3F EHZ OO                   1849.347   1849.347   1849.347  38228.111
ID1F EHZ OO                      1.000      1.000      1.000      1.000
AS1G EHZ OO                     13.421     13.421     13.421     74.350
AS2G EHZ OO                     17.340     17.340     17.340    414.456
CC1G HHZ OO                      1.000      1.000      1.000      1.000
EC1G EHZ OO                     22.437     22.437     22.437   2256.745
EC2G HHZ OO                     11.714     11.714     11.714    946.998
EC3G EHZ OO                     24.039     24.039     24.039    827.447
ID1G EHZ OO                     25.839     25.839     25.839    180.580
106     48
AS1A EHZ OO                     69.968     69.968     69.968   1864.383
AS2A EHZ OO                     48.599     48.599     48.599   1076.778
CC1A HHZ OO                     91.659     91.659     91.659  14255.539
EC1A EHZ OO                     63.117     63.117     63.117  19460.628
EC2A HHZ OO                     51.343     51.343     51.343   6967.987
EC3A EHZ OO                     60.989     60.989     60.989   4648.324
ID1A EHZ OO                     97.502     97.502     97.502    678.026
AS1B EHZ OO                     31.685     31.685     31.685    257.720
AS2B EHZ OO                     25.355     25.355     25.355    193.033
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                     78.491     78.491     78.491    420.073
EC2B HHZ OO                     49.644     49.644     49.644    613.213
EC3B EHZ OO                    205.403    205.403    205.403    533.443
ID1B EHZ OO                     24.788     24.788     24.788     83.971
AS1C EHZ OO                     33.808     33.808     33.808    143.488
AS2C EHZ OO                     39.990     39.990     39.990     52.911
CC1C HHZ OO                      1.000      1.000      1.000      1.000
EC1C EHZ OO                     23.863     23.863     23.863    283.381
EC2C HHZ OO                     29.351     29.351     29.351    336.376
EC3C EHZ OO                     49.423     49.423     49.423     91.081
ID1C EHZ OO                     34.516     34.516     34.516     50.296
AS1D EHZ OO                     53.428     53.428     53.428     80.101
AS2D EHZ OO                     23.199     23.199     23.199     47.851
CC1D HHZ OO                     19.924     19.924     19.924     41.030
EC1D EHZ OO                     26.305     26.305     26.305     55.376
EC2D HHZ OO                     26.640     26.640     26.640     51.863
EC3D EHZ OO                     50.612     50.612     50.612     98.236
AS1E EHZ OO                     23.886     23.886     23.886    344.093
AS2E EHZ OO                     29.833     29.833     29.833     89.891
CC1E HHZ OO                      1.000      1.000      1.000      1.000
EC1E EHZ OO                     43.672     43.672     43.672   1045.179
EC2E HHZ OO                     55.209     55.209     55.209    882.169
EC3E EHZ OO                    172.067    172.067    172.067    894.843
ID1E EHZ OO                     39.901     39.901     39.901    156.304
AS1F EHZ OO                     69.605     69.605     69.605    219.210
AS2F EHZ OO                     46.419     46.419     46.419    148.195
CC1F HHZ OO                      1.000      1.000      1.000      1.000
EC1F EHZ OO                     76.592     76.592     76.592    645.977
EC2F HHZ OO                     56.161     56.161     56.161    475.714
EC3F EHZ OO                    152.520    152.520    152.520    381.380
ID1F EHZ OO                     44.445     44.445     44.445     81.757
AS1G EHZ OO                     41.860     41.860     41.860    462.344
AS2G EHZ OO                     49.810     49.810     49.810   1515.591
CC1G HHZ OO                     76.395     76.395     76.395    794.787
EC1G EHZ OO                     63.328     63.328     63.328   1272.385
EC2G HHZ OO                     48.111     48.111     48.111    783.528
EC3G EHZ OO                     75.796     75.796     75.796    552.352
ID1G EHZ OO                     32.130     32.130     32.130    122.263
107     45
AS1A EHZ OO                     63.918     63.918     63.918   3870.842
AS2A EHZ OO                     39.315     39.315     39.315     41.080
CC1A HHZ OO                     70.894     70.894     70.894   2326.519
EC1A EHZ OO                     54.673     54.673     54.673   7705.738
EC2A HHZ OO                     39.240     39.240     39.240   5175.446
EC3A EHZ OO                     51.521     51.521     51.521   3186.771
ID1A EHZ OO                     55.939     55.939     55.939    565.264
AS1B EHZ OO                     41.728     41.728     41.728    511.727
AS2B EHZ OO                     29.450     29.450     29.450    205.963
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                     80.683     80.683     80.683    870.006
EC2B HHZ OO                    113.618    113.618    113.618    518.778
EC3B EHZ OO                    104.632    104.632    104.632   1085.106
AS2C EHZ OO                     32.361     32.361     32.361     60.648
CC1C HHZ OO                     47.462     47.462     47.462   1343.813
EC1C EHZ OO                     27.636     27.636     27.636    294.797
EC2C HHZ OO                     32.840     32.840     32.840     93.418
EC3C EHZ OO                     50.684     50.684     50.684    116.243
ID1C EHZ OO                     32.932     32.932     32.932     44.079
AS1D EHZ OO                     21.552     21.552     21.552    105.099
AS2D EHZ OO                     24.593     24.593     24.593    118.481
CC1D HHZ OO                     29.236     29.236     29.236   1025.923
EC1D EHZ OO                     17.820     17.820     17.820    591.006
EC2D HHZ OO                     27.958     27.958     27.958    325.846
EC3D EHZ OO                     19.210     19.210     19.210    266.274
ID1D EHZ OO                     38.826     38.826     38.826     43.477
AS1E EHZ OO                     52.731     52.731     52.731    455.892
AS2E EHZ OO                     28.967     28.967     28.967     94.223
CC1E HHZ OO                     42.845     42.845     42.845     55.783
EC1E EHZ OO                     38.210     38.210     38.210     60.450
EC3E EHZ OO                     98.968     98.968     98.968    496.462
ID1E EHZ OO                     27.558     27.558     27.558    162.108
AS1F EHZ OO                     51.306     51.306     51.306    522.099
AS2F EHZ OO                     31.846     31.846     31.846     76.731
CC1F HHZ OO                      1.000      1.000      1.000      1.000
EC1F EHZ OO                     34.831     34.831     34.831    133.039
EC2F HHZ OO                     46.338     46.338     46.338    453.661
EC3F EHZ OO                     42.223     42.223     42.223    360.117
ID1F EHZ OO                     62.474     62.474     62.474    137.256
AS1G EHZ OO                     37.278     37.278     37.278     91.092
AS2G EHZ OO                     39.062     39.062     39.062    252.465
CC1G HHZ OO                     46.039     46.039     46.039    131.665
EC1G EHZ OO                     33.870     33.870     33.870     48.308
EC2G HHZ OO                     38.896     38.896     38.896     62.683
EC3G EHZ OO                     50.602     50.602     50.602     73.918
108     47
AS1A EHZ OO                    681.252    681.252    681.252  40655.662
AS2A EHZ OO                    574.641    574.641    574.641  26365.759
CC1A HHZ OO                    694.143    694.143    694.143  27390.120
EC1A EHZ OO                   2053.389   2053.389   2053.389 113214.625
EC2A HHZ OO                   2990.133   2990.133   2990.133  47388.221
EC3A EHZ OO                   3697.245   3697.245   3697.245  37347.298
ID1A EHZ OO                    216.089    216.089    216.089   5608.309
AS1B EHZ OO                     32.560     32.560     32.560   1073.974
AS2B EHZ OO                     32.111     32.111     32.111    249.140
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                     30.078     30.078     30.078    578.261
EC2B HHZ OO                     22.647     22.647     22.647    924.750
EC3B EHZ OO                     52.102     52.102     52.102   1159.005
ID1B EHZ OO                     35.472     35.472     35.472    222.070
AS1C EHZ OO                     42.861     42.861     42.861    533.561
CC1C HHZ OO                     77.623     77.623     77.623    213.006
EC1C EHZ OO                     30.617     30.617     30.617    312.622
EC2C HHZ OO                     32.589     32.589     32.589   1142.261
EC3C EHZ OO                    136.675    136.675    136.675   1518.450
ID1C EHZ OO                     38.859     38.859     38.859    250.130
AS1D EHZ OO                     59.627     59.627     59.627    269.110
AS2D EHZ OO                     57.648     57.648     57.648    222.933
CC1D HHZ OO                      1.000      1.000      1.000      1.000
EC1D EHZ OO                     75.501     75.501     75.501    506.631
EC2D HHZ OO                     71.027     71.027     71.027    448.312
ID1D EHZ OO                     60.176     60.176     60.176    129.951
AS1E EHZ OO                    146.541    146.541    146.541    891.079
AS2E EHZ OO                     63.330     63.330     63.330    208.864
CC1E HHZ OO                      1.000      1.000      1.000      1.000
EC1E EHZ OO                    279.959    279.959    279.959    463.725
EC2E HHZ OO                    160.259    160.259    160.259    904.057
EC3E EHZ OO                   1730.226   1730.226   1730.226   1549.658
ID1E EHZ OO                    115.230    115.230    115.230    189.834
AS1F EHZ OO                      1.000      1.000      1.000      1.000
AS2F EHZ OO                     88.094     88.094     88.094   1601.987
CC1F HHZ OO                     61.793     61.793     61.793    631.883
EC1F EHZ OO                     61.735     61.735     61.735    894.617
EC2F HHZ OO                    759.657    759.657    759.657  10644.992
EC3F EHZ OO                   1804.544   1804.544   1804.544  24162.464
ID1F EHZ OO                    444.183    444.183    444.183   7382.391
AS1G EHZ OO                     37.447     37.447     37.447   2273.631
AS2G EHZ OO                     60.218     60.218     60.218    442.523
CC1G HHZ OO                      1.000      1.000      1.000      1.000
EC1G EHZ OO                     40.728     40.728     40.728   1376.773
EC2G HHZ OO                     31.823     31.823     31.823   1552.442
EC3G EHZ OO                     55.895     55.895     55.895   2829.334
ID1G EHZ OO                     31.212     31.212     31.212    108.210
109     47
AS1A EHZ OO                     69.580     69.580     69.580   6765.043
AS2A EHZ OO                     63.448     63.448     63.448     51.589
CC1A HHZ OO                     91.757     91.757     91.757   5009.959
EC1A EHZ OO                     51.972     51.972     51.972  16157.410
EC2A HHZ OO                     48.464     48.464     48.464  10999.198
EC3A EHZ OO                    106.730    106.730    106.730   5662.624
ID1A EHZ OO                     76.414     76.414     76.414    858.077
AS1B EHZ OO                     59.627     59.627     59.627    269.110
AS2B EHZ OO                     57.648     57.648     57.648    222.933
CC1B HHZ OO                      1.000      1.000      1.000      1.000
EC1B EHZ OO                     75.501     75.501     75.501    506.631
EC2B HHZ OO                     71.027     71.027     71.027    448.312
ID1B EHZ OO                     60.176     60.176     60.176    129.951
AS1C EHZ OO                     30.960     30.960     30.960    191.292
AS2C EHZ OO                     37.602     37.602     37.602    101.848
CC1C HHZ OO                      1.000      1.000      1.000      1.000
EC1C EHZ OO                     37.751     37.751     37.751    138.040
