EC2H HHZ  45.93967 -129.97380     0 OO
EC2I HHZ  45.93967 -129.97380     0 OO
EC2J HHZ  45.93967 -129.97380     0 OO
EC2K HHZ  45.93967 -129.97380     0 OO
EC2L HHZ  45.93967 -129.97380     0 OO
EC2M HHZ  45.93967 -129.97380     0 OO
EC2N HHZ  45.93967 -129.97380     0 OO
EC2O HHZ  45.93967 -129.97380     0 OO
EC2P HHZ  45.93967 -129.97380     0 OO
EC2Q HHZ  45.93967 -129.97380     0 OO
EC2R HHZ  45.93967 -129.97380     0 OO
EC2S HHZ  45.93967 -129.97380     0 OO
EC2T HHZ  45.93967 -129.97380     0 OO
EC2U HHZ  45.93967 -129.97380     0 OO
EC2V HHZ  45.93967 -129.97380     0 OO
EC2W HHZ  45.93967 -129.97380     0 OO
EC2X HHZ  45.93967 -129.97380     0 OO
EC2Y HHZ  45.93967 -129.97380     0 OO
EC2Z HHZ  45.93967 -129.97380     0 OO
EC3A EHZ  45.93607 -129.97850     0 OO
EC3B EHZ  45.93607 -129.97850     0 OO
EC3C EHZ  45.93607 -129.97850     0 OO
EC3D EHZ  45.93607 -129.97850     0 OO
EC3E EHZ  45.93607 -129.97850     0 OO
EC3F EHZ  45.93607 -129.97850     0 OO
EC3G EHZ  45.93607 -129.97850     0 OO
EC3H EHZ  45.93607 -129.97850     0 OO
EC3I EHZ  45.93607 -129.97850     0 OO
EC3J EHZ  45.93607 -129.97850     0 OO
EC3K EHZ  45.93607 -129.97850     0 OO
EC3L EHZ  45.93607 -129.97850     0 OO
EC3M EHZ  45.93607 -129.97850     0 OO
EC3N EHZ  45.93607 -129.97850     0 OO
EC3O EHZ  45.93607 -129.97850     0 OO
EC3P EHZ  45.93607 -129.97850     0 OO
EC3Q EHZ  45.93607 -129.97850     0 OO
EC3R EHZ  45.93607 -129.97850     0 OO
EC3S EHZ  45.93607 -129.97850     0 OO
EC3T EHZ  45.93607 -129.97850     0 OO
EC3U EHZ  45.93607 -129.97850     0 OO
EC3V EHZ  45.93607 -129.97850     0 OO
EC3W EHZ  45.93607 -129.97850     0 OO
EC3X EHZ  45.93607 -129.97850     0 OO
EC3Y EHZ  45.93607 -129.97850     0 OO
EC3Z EHZ  45.93607 -129.97850     0 OO
ID1A EHZ  45.92573 -129.97800     0 OO
ID1B EHZ  45.92573 -129.97800     0 OO
ID1C EHZ  45.92573 -129.97800     0 OO
ID1D EHZ  45.92573 -129.97800     0 OO
ID1E EHZ  45.92573 -129.97800     0 OO
ID1F EHZ  45.92573 -129.97800     0 OO
ID1G EHZ  45.92573 -129.97800     0 OO
ID1H EHZ  45.92573 -129.97800     0 OO
ID1I EHZ  45.92573 -129.97800     0 OO
ID1J EHZ  45.92573 -129.97800     0 OO
ID1K EHZ  45.92573 -129.97800     0 OO
ID1L EHZ  45.92573 -129.97800     0 OO
ID1M EHZ  45.92573 -129.97800     0 OO
ID1N EHZ  45.92573 -129.97800     0 OO
ID1O EHZ  45.92573 -129.97800     0 OO
ID1P EHZ  45.92573 -129.97800     0 OO
ID1Q EHZ  45.92573 -129.97800     0 OO
ID1R EHZ  45.92573 -129.97800     0 OO
ID1S EHZ  45.92573 -129.97800     0 OO
ID1T EHZ  45.92573 -129.97800     0 OO
ID1U EHZ  45.92573 -129.97800     0 OO
ID1V EHZ  45.92573 -129.97800     0 OO
ID1W EHZ  45.92573 -129.97800     0 OO
ID1X EHZ  45.92573 -129.97800     0 OO
ID1Y EHZ  45.92573 -129.97800     0 OO
ID1Z EHZ  45.92573 -129.97800     0 OO
