             100 2017  6 23  1 16  4.020 L 1.000 X  45.93967 -129.99567   0.870 X  -9.000   0.300   0.200  -9.000    -18   -9   -9   98  66 -172   35 37  45  0 D  46 31   0   0 1  89 56
             101 2018  5 26  7 43 25.280 L 1.000 X  45.95267 -129.99533   0.590 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  147  74 -139   33 30  44 21 B  65 66   0   0 1 183 57
             102 2018  2  4 18 50 16.520 L 1.000 X  45.94083 -130.01433   0.590 X  -9.000   0.300   0.200  -9.000    -18   -9   -9   85  75  -66   39 48  43 12 D  40 49   0   0 1 234 57
             103 2016  9 30 15 15 54.000 L 1.000 X  45.94200 -129.98134   1.760 X  -9.000   0.300   0.200  -9.000    -18   -9   -9   37  62 -142   21 16  45  0 A  96 73   0   0 1 105 24
             106 2016  9 26 23 32 20.960 L 1.000 X  45.94900 -129.98483   1.600 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  199  77  108   20 12  48  0 A 100 68   0   0 1 152 32
             107 2017 12 25 20 41 53.480 L 1.000 X  45.94316 -129.99217   1.190 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  187  24  -75   30 37  45  0 B  67 59   0   0 1  98 60
             108 2017  3 25 18 15 36.470 L 1.000 X  45.93900 -129.98216   1.490 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  351  64 -125   34 37  47  0 C  64 67   0   0 1  77 20
             109 2017  3 25 12 58  0.520 L 1.000 X  45.94017 -129.98183   1.540 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  359  62 -132   36 38  47  0 D  45 66   0   0 1  86 23
             112 2017  3 14 17 49 38.210 L 1.000 X  45.93967 -129.98100   1.550 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  251  11   20   31 29  44  0 B  75 65   0   0 1  84 19
             113 2016 10 28 22 49 27.020 L 1.000 X  45.93450 -130.00183   1.000 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  153  76  120   48 39  45 34 C  52 23   0   0 1 179 42
             114 2018  1 25 20 21  1.800 L 1.000 X  45.93650 -130.00917   1.110 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  273  72 -113   41 47  44  5 C  59 33   0   0 1 118 33
             116 2016  9 29  0 49  7.090 L 1.000 X  45.94517 -129.98517   1.220 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  142  25 -132   34 33  48  0 B  71 61   0   0 1 100 36
             118 2017  5  3 17 33 52.510 L 1.000 X  45.94533 -129.98067   1.500 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  355  65  -84   36 41  38 24 C  58 71   0   0 1 130 22
             119 2018  3  9  1 58  0.890 L 1.000 X  45.93967 -129.98134   1.590 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  349  64 -104   29 35  39 16 B  72 67   0   0 1  83 19
             120 2016 10 16 16 54  1.160 L 1.000 X  45.94767 -129.98151   1.480 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  116  50 -162   38 33  39 15 C  51 68   0   0 1 112 33
             121 2017  8 16 23 33  0.810 L 1.000 X  45.93750 -129.97783   1.510 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  295  82 -116   31 37  38 22 B  66 63   0   0 1 128 33
             122 2018  3 28  7 40 57.430 L 1.000 X  45.93600 -129.97566   1.400 X  -9.000   0.300   0.200  -9.000    -18   -9   -9   36  63  -86   32 41  39 35 C  58 54   0   0 1 169 28
             125 2020  5 26  0  2 31.960 L 1.000 X  45.93884 -129.97583   1.630 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  159  37 -129   35 30  39 13 B  69 65   0   0 1 127 30
             126 2018  1 30 18 16 19.590 L 1.000 X  45.94017 -129.97517   1.540 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  159  38 -116   43 38  32 37 D  39 64   0   0 1 135 21
             127 2019  4  3 19  1  3.120 L 1.000 X  45.93967 -129.97617   1.590 X  -9.000   0.300   0.200  -9.000    -18   -9   -9  159  39 -114   38 33  39 25 C  53 63   0   0 1 103 25
