ORIG_FID	LONGITUDE	LATITUDE
0	-130.0007304	45.99467436
0	-130.0005173	45.9943746
0	-130.0002691	45.99405101
0	-129.9999506	45.99366521
0	-129.9996854	45.99335634
0	-129.9996299	45.99315976
0	-129.9995801	45.99293513
0	-129.9996086	45.99262104
0	-129.9996086	45.99230695
0	-129.9996086	45.99222129
0	-129.9995706	45.99199286
0	-129.9995985	45.99160936
0	-129.999494	45.99137933
0	-129.9994938	45.99098118
0	-129.9991892	45.99041011
0	-129.9990464	45.99009602
0	-129.9989227	45.98981049
0	-129.9988275	45.98962965
0	-129.9986752	45.98922038
0	-129.9985762	45.98855647
0	-129.9983954	45.98800443
0	-129.9982336	45.98760468
0	-129.9978528	45.98671001
0	-129.9974517	45.98606962
0	-129.9974055	45.9855869
0	-129.9973865	45.98523474
0	-129.9973008	45.98506342
0	-129.9971675	45.98482548
0	-129.9970343	45.98450187
0	-129.9969391	45.98425441
0	-129.9967963	45.98375948
0	-129.9966916	45.98315034
0	-129.9965584	45.98266493
0	-129.9964251	45.98216048
0	-129.9958608	45.97548365
1	-129.9629283	46.12480373
1	-129.9638546	46.12399289
2	-129.9651532	46.12345367
2	-129.965543	46.12314578
2	-129.9659083	46.12284022
2	-129.9768795	46.11571291
3	-129.9866593	46.08945913
3	-129.9882201	46.08576809
3	-129.9896201	46.08327632
3	-129.9900971	46.08242838
3	-129.9908466	46.08116727
3	-129.9916199	46.08004892
3	-129.9920244	46.07947785
3	-129.9929596	46.07831905
3	-129.993483	46.07770039
3	-129.9944443	46.07633934
3	-129.9947394	46.0759967
3	-129.9966828	46.07233004
4	-129.9957899	46.07294233
4	-129.9962051	46.07223715
4	-129.9967286	46.07169463
4	-129.9974425	46.07086658
4	-129.9977982	46.07041669
5	-130.0178784	46.0286298
5	-130.0180927	46.02822637
5	-130.0181306	46.02787393
5	-130.0182192	46.02738514
5	-130.0185758	46.02652332
5	-130.0187599	46.02592248
5	-130.0192323	46.02509051
5	-130.019571	46.02479997
5	-130.0199978	46.02331698
5	-130.0201032	46.02229679
5	-130.020807	46.02103034
5	-130.0207916	46.02067837
5	-130.021026	46.02040448
5	-130.0210654	46.0201385
5	-130.0211322	46.01988601
5	-130.0210559	46.0196197
5	-130.0216783	46.01826749
6	-130.0214964	46.01779352
6	-130.0218638	46.01658289
6	-130.0224181	46.01584382
6	-130.0224448	46.01511023
6	-130.0224605	46.01499511
6	-130.0227575	46.01441448
6	-130.0229442	46.01389697
6	-130.0235424	46.01272012
6	-130.0235387	46.01218346
6	-130.0238835	46.01128316
7	-130.0226153	46.00638518
7	-130.0230717	46.00531761
8	-130.0035471	46.05737992
8	-130.0052716	46.05497957
8	-130.0064019	46.05337343
8	-130.0070562	46.05170781
8	-130.0082162	46.04974475
8	-130.0094654	46.04801965
8	-130.0104172	46.04641351
8	-130.0126777	46.0424874
8	-130.0136295	46.04016742
8	-130.01473	46.03814488
8	-130.0159197	46.03487312
8	-130.0176873	46.03110887
9	-129.996545	46.07093135
9	-129.9980187	46.06898596
9	-129.9985167	46.06701796
9	-129.9992265	46.06614639
9	-130.0007437	46.06301833
9	-130.0015477	46.06207781
9	-130.002147	46.06084251
9	-130.0036326	46.05858277
9	-130.0038424	46.05757075
9	-130.0038424	46.05745178
10	-130.0056017	46.00306363
10	-130.0050875	46.00162138
11	-130.0097008	46.0046953
11	-130.0092218	46.00582901
12	-129.9958063	45.97793539
12	-129.9957864	45.97779697
12	-129.9957401	45.97774388
12	-129.9957387	45.97766608
13	-129.9941565	45.96695948
13	-129.9941009	45.96339452
14	-129.9941238	45.96148447
14	-129.994195	45.95740648
15	-129.9956891	45.97467129
15	-129.9951916	45.9680959
16	-130.0030666	45.99920222
16	-130.002855	45.99793266
16	-130.0026803	45.99754692
16	-130.002499	45.99738045
16	-130.0017973	45.99619232
16	-130.0015974	45.99571643
16	-130.0014708	45.99541189
16	-130.0013357	45.99508163
17	-130.023264	46.009281
17	-130.0227733	46.01057515
18	-129.9633943	46.12666225
18	-129.9614177	46.12785728
19	-129.9793168	46.10612461
19	-129.9688042	46.11281881
20	-129.9889147	46.09470348
20	-129.9830311	46.10311125
